city,state_abbr,state,county,lat,lon
St. Louis,MO,Missouri,St. Louis City,38.627,-90.1994
Cincinnati,OH,Ohio,Hamilton County,39.1031,-84.512
Pittsburgh,PA,Pennsylvania,Allegheny County,40.4406,-79.9959
Greensboro,NC,North Carolina,Guilford County,36.0726,-79.792
Anchorage,AK,Alaska,Anchorage Municipality,61.2181,-149.9003
Plano,TX,Texas,Collin County,33.0198,-96.6989
Lincoln,NE,Nebraska,Lancaster County,40.8136,-96.7026
Orlando,FL,Florida,Orange County,28.5383,-81.3792
Irvine,CA,California,Orange County,33.6846,-117.8265
Newark,NJ,New Jersey,Essex County,40.7357,-74.1724
Durham,NC,North Carolina,Durham County,35.994,-78.8986
Chula Vista,CA,California,San Diego County,32.6401,-117.0842
Toledo,OH,Ohio,Lucas County,41.6528,-83.5379
Fort Wayne,IN,Indiana,Allen County,41.0793,-85.1394
St. Petersburg,FL,Florida,Pinellas County,27.7676,-82.6403
Laredo,TX,Texas,Webb County,27.5036,-99.5076
Jersey City,NJ,New Jersey,Hudson County,40.7178,-74.0431
Madison,WI,Wisconsin,Dane County,43.0731,-89.4012
Chandler,AZ,Arizona,Maricopa County,33.3062,-111.8413
Buffalo,NY,New York,Erie County,42.8864,-78.8784
Lubbock,TX,Texas,Lubbock County,33.5779,-101.8552
Scottsdale,AZ,Arizona,Maricopa County,33.4942,-111.9261
Reno,NV,Nevada,Washoe County,39.5296,-119.8138
Boise,ID,Idaho,Ada County,43.615,-116.2023
Richmond,VA,Virginia,Richmond City,37.5407,-77.436
Spokane,WA,Washington,Spokane County,47.6588,-117.426
Salt Lake City,UT,Utah,Salt Lake County,40.7608,-111.891
Des Moines,IA,Iowa,Polk County,41.5868,-93.625
Little Rock,AR,Arkansas,Pulaski County,34.7465,-92.2896
Birmingham,AL,Alabama,Jefferson County,33.5186,-86.8104
Charleston,SC,South Carolina,Charleston County,32.7765,-79.9311
Savannah,GA,Georgia,Chatham County,32.0809,-81.0912
Knoxville,TN,Tennessee,Knox County,35.9606,-83.9207
Burlington,VT,Vermont,Chittenden County,44.4759,-73.2121
Portland,ME,Maine,Cumberland County,43.6591,-70.2568
Manchester,NH,New Hampshire,Hillsborough County,42.9956,-71.4548
Providence,RI,Rhode Island,Providence County,41.824,-71.4128
Wilmington,DE,Delaware,New Castle County,39.7391,-75.5398
Jackson,MS,Mississippi,Hinds County,32.2988,-90.1848
Billings,MT,Montana,Yellowstone County,45.7833,-108.5007
Cheyenne,WY,Wyoming,Laramie County,41.14,-104.8202
Fargo,ND,North Dakota,Cass County,46.8772,-96.7898
Sioux Falls,SD,South Dakota,Minnehaha County,43.5446,-96.7311
Charleston,WV,West Virginia,Kanawha County,38.3498,-81.6326
