rank,city,state,state_abbr,county,score,solar_score,seasonal_score,hazard_resilience_score,affordability_score,annual_solar_kwh_10kw,winter_to_average_ratio,electricity_rate_cents_kwh,fema_disasters_20yr,data_status
66,Anaheim,California,CA,Orange County,69,97,99,50,13,17784,0.796,32,12,starter estimate
67,Santa Ana,California,CA,Orange County,69,97,99,50,13,17775,0.797,32,12,starter estimate
68,Riverside,California,CA,Riverside County,69,97,99,50,13,17798,0.795,32,12,starter estimate
69,Cincinnati,Ohio,OH,Hamilton County,69,54,92,62,83,14290,0.756,16,9,starter estimate
70,Greensboro,North Carolina,NC,Guilford County,69,57,96,45,91,14593,0.779,14,13,starter estimate
71,Irvine,California,CA,Orange County,69,97,100,50,13,17768,0.798,32,12,starter estimate
72,Durham,North Carolina,NC,Durham County,69,58,96,45,91,14601,0.78,14,13,starter estimate
73,Chula Vista,California,CA,San Diego County,69,96,100,50,13,17664,0.806,32,12,starter estimate
74,Charleston,South Carolina,SC,Charleston County,69,58,100,45,87,14678,0.805,15,13,starter estimate
75,Fargo,North Dakota,ND,Cass County,69,40,81,75,100,13212,0.696,12,6,starter estimate
76,Cleveland,Ohio,OH,Cuyahoga County,68,51,89,62,83,14050,0.737,16,9,starter estimate
77,Bakersfield,California,CA,Kern County,68,96,97,50,13,17663,0.785,32,12,starter estimate
78,San Jose,California,CA,Santa Clara County,67,93,94,50,13,17466,0.769,32,12,starter estimate
79,Detroit,Michigan,MI,Wayne County,67,50,87,75,70,13967,0.731,19,6,starter estimate
80,Fresno,California,CA,Fresno County,67,94,95,50,13,17526,0.774,32,12,starter estimate
81,Minneapolis,Minnesota,MN,Hennepin County,67,43,84,75,83,13402,0.71,16,6,starter estimate
82,St. Paul,Minnesota,MN,Ramsey County,67,43,84,75,83,13405,0.711,16,6,starter estimate
83,Toledo,Ohio,OH,Lucas County,67,50,88,62,83,14035,0.736,16,9,starter estimate
84,Philadelphia,Pennsylvania,PA,Philadelphia County,66,53,91,62,70,14205,0.749,19,9,starter estimate
85,Jacksonville,Florida,FL,Duval County,66,63,100,24,87,15033,0.824,15,18,starter estimate
86,Baltimore,Maryland,MD,Baltimore City,66,53,92,62,70,14271,0.754,19,9,starter estimate
87,Sacramento,California,CA,Sacramento County,66,92,93,50,13,17342,0.76,32,12,starter estimate
88,Oakland,California,CA,Alameda County,66,93,94,50,13,17420,0.766,32,12,starter estimate
89,Honolulu,Hawaii,HI,Honolulu County,66,82,100,71,0,16531,0.826,42,7,starter estimate
90,Stockton,California,CA,San Joaquin County,66,93,94,50,13,17404,0.765,32,12,starter estimate
91,Pittsburgh,Pennsylvania,PA,Allegheny County,66,52,90,62,70,14156,0.745,19,9,starter estimate
92,Orlando,Florida,FL,Orange County,65,61,100,24,87,14854,0.826,15,18,starter estimate
93,Miami,Florida,FL,Miami-Dade County,64,57,100,24,87,14576,0.826,15,18,starter estimate
94,Tampa,Florida,FL,Hillsborough County,64,60,100,24,87,14795,0.826,15,18,starter estimate
95,St. Petersburg,Florida,FL,Pinellas County,64,60,100,24,87,14777,0.826,15,18,starter estimate
96,Newark,New Jersey,NJ,Essex County,62,52,90,58,57,14126,0.743,22,10,starter estimate
97,Jersey City,New Jersey,NJ,Hudson County,62,52,90,58,57,14128,0.743,22,10,starter estimate
98,New York,New York,NY,New York County,60,52,90,62,43,14129,0.743,25,9,starter estimate
99,Buffalo,New York,NY,Erie County,59,49,87,62,43,13911,0.727,25,9,starter estimate
100,Portland,Maine,ME,Cumberland County,59,48,86,66,43,13834,0.721,25,8,starter estimate
101,Manchester,New Hampshire,NH,Hillsborough County,59,49,86,66,39,13900,0.726,26,8,starter estimate
102,Burlington,Vermont,VT,Chittenden County,57,34,84,66,57,12752,0.714,22,8,starter estimate
103,Providence,Rhode Island,RI,Providence County,56,50,88,66,22,14018,0.735,30,8,starter estimate
104,Boston,Massachusetts,MA,Suffolk County,55,50,87,66,17,13964,0.731,31,8,starter estimate
105,Anchorage,Alaska,AK,Anchorage Municipality,55,51,61,62,48,14078,0.585,24,9,starter estimate
